City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,astrakhan,46.3497,48.0408,19.93,64,0,5.0,RU,1717188645
226,weno,7.4515,151.8468,27.94,82,100,4.51,FM,1717188645
227,altay,47.8667,88.1167,10.64,49,29,1.93,CN,1717188645
228,north ward,-19.2454,146.8075,19.95,94,40,0.51,AU,1717188645
229,guarapari,-20.6667,-40.4975,21.06,83,0,5.05,BR,1717188645
230,enchanted hills,35.3368,-106.593,32.65,12,1,4.47,US,1717188645
231,pisco,-13.7,-76.2167,19.03,72,20,4.12,PE,1717188645
232,tosontsengel,48.7567,98.2839,6.8,58,0,1.57,MN,1717188645
233,holualoa,19.6228,-155.9522,24.91,78,75,3.6,US,1717188646
234,west bay,19.3667,-81.4167,32.04,75,40,4.12,KY,1717188646
235,santana do mundau,-9.1681,-36.2222,21.01,96,89,2.0,BR,1717188646
236,chitungwiza,-18.0127,31.0756,13.03,51,0,2.62,ZW,1717188646
237,kodiak,57.79,-152.4072,6.73,93,100,6.69,US,1717188646
238,waterloo,43.4668,-80.5164,22.79,33,0,1.54,CA,1717188118
239,mora,11.0461,14.1401,33.41,36,81,0.87,CM,1717188646
240,kingston,17.997,-76.7936,32.31,66,20,6.69,JM,1717188160
241,cururupu,-1.8283,-44.8683,24.11,100,100,0.84,BR,1717188532
242,newman,37.3138,-121.0208,34.02,12,2,1.44,US,1717188647
243,stanley,54.868,-1.6985,10.29,76,0,2.57,GB,1717188606
244,manta,-0.95,-80.7333,27.88,74,40,4.63,EC,1717188373
245,west helena,34.5507,-90.6418,24.82,78,96,7.73,US,1717188647
246,bikenibeu village,1.3673,173.1241,28.98,79,40,3.6,KI,1717188647
247,yenangyaung,20.4667,94.8833,29.82,73,96,5.05,MM,1717188647
248,morehead city,34.7229,-76.726,27.0,40,20,5.14,US,1717188648
249,hamilton,39.1834,-84.5333,25.56,33,0,3.09,US,1717188648
250,lompoc,34.6391,-120.4579,26.68,78,100,3.09,US,1717188648
251,samsun,41.25,36.3333,17.42,94,40,1.03,TR,1717188334
252,mejit,10.2753,170.8646,28.08,79,100,6.67,MH,1717188648
253,ad dilam,23.9915,47.1627,35.23,10,67,3.66,SA,1717188648
254,kidal,18.4411,1.4078,35.56,8,14,2.78,ML,1717188648
255,amahai,-3.3333,128.9167,29.55,88,95,1.26,ID,1717188648
256,nan,18.8333,100.6667,24.35,97,100,0.44,TH,1717188649
257,semporna,4.4818,118.6112,26.63,88,97,1.05,MY,1717188649
258,ulsteinvik,62.3432,5.8487,14.5,86,21,2.24,NO,1717188649
259,maracaibo,10.6317,-71.6406,32.85,57,100,0.46,VE,1717188389
260,chissamba,-12.1667,17.3333,15.88,46,64,1.79,AO,1717188649
261,lijiang,26.8688,100.2207,15.07,97,100,1.31,CN,1717188649
262,acapulco de juarez,16.8634,-99.8901,30.9,74,0,5.66,MX,1717188649
